"","curso","atividade_remunerada","tipo_atividade_remunerada","ingere_alcool","se_fornao_ja_ingeriu","bebe_onde","sintomas","frequencia","ja_teve_problemas","gasto_mensal","ja_tentou_parar","o_que_leva_a_beber"
"108","Informática","Não","Não realizo","Sim","","Bares","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","",""
"109","Informática","Não","Não realizo","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"110","Química","Sim","Bolsista","Sim","","Casa, Outros ambientes","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","20 a 50 reais","",""
"111","Química","Não","Não realizo","Sim","","Bares, Festas Universitárias","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","20 a 50 reais","",""
"112","Matemática","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares","Ressaca, Vômito","Uma a duas vezes","Não","50 a 100 reais","","Apreciar a bebida"
"113","Matemática","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares","Ressaca, Vômito","Zero a uma vez","Não","50 a 100 reais","Nunca tentei","Vontade"
"114","Estatística","Sim","Estágio","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"115","Estatística","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Não","Não bebo","Não bebo",""
"116","Informática","Sim","Estágio","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","0 a 20 reais","Sim, e consegui",""
"117","Ciência da Computação","Sim","Estágio","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"118","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Amnésia alcóolica","Zero a uma vez","Sim","50 a 100 reais","Sim, e consegui","Pelo gosto, e pela sensação de relaxamento."
"119","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Mais de duas vezes","Sim","Mais de 100 reais","Sim, e consegui",""
"120","Informática","Sim","Trabalho Integral (CLT)","Sim","Sim","Bares","Ressaca","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui","Alcool"
"121","Matemática","Sim","Bolsista","Sim","","Casa, Bares, Festas Universitárias","Vômito, Amnésia alcóolica","Zero a uma vez","Nunca tive","20 a 50 reais","Nunca tentei","Gosto, sensação do pensamento levemente embriagado, socialização"
"122","Matemática","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Não","Não bebo","Não bebo",""
"123","Matemática","Sim","Estágio","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Uma a duas vezes","Não","50 a 100 reais","Sim, e consegui","Ansiedade e amizade"
"124","Química","Não","Não realizo","Não","Não","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"125","Química","Sim","Trabalho Integral (CLT)","Sim","Sim","Casa, Bares, Festas Universitárias","Amnésia alcóolica","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui",""
"126","Matemática","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito","Uma a duas vezes","Sim","Mais de 100 reais","Sim, e consegui","Sociabilidade "
"127","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui","Compartilhar com amigos"
"128","Informática","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Nunca tive","Não bebo","Não bebo",""
"129","Ciência da Computação","Sim","Trabalho Integral (CLT)","Não","Sim","Não bebo","Não bebo","Nenhuma vez","Sim","Não bebo","Não bebo",""
"130","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Outros ambientes","Nunca tive nenhum sintoma","Zero a uma vez","Nunca tive","0 a 20 reais","",""
"131","Informática","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica, Desmaio","Zero a uma vez","Sim","50 a 100 reais","Sim, e consegui","O sabor do malte, do lúpulo e toda a cremosidade que uma cerveja pode oferecer, além é claro, dos efeitos neurológicos, que abre à uma conversa mais amigável com as pessoas que amamos em troca de uma parte da vida útil de nossos orgãos."
"132","Ciência da Computação","Sim","Estágio","Não","Sim","Casa, Bares, Outros ambientes","Não bebo","Zero a uma vez","Não","0 a 20 reais","Sim, e consegui",""
"133","Estatística","Sim","Trabalho Integral (CLT)","Sim","","Casa, Bares, Festas Universitárias, Outros ambientes","Ressaca, Vômito, Amnésia alcóolica","Zero a uma vez","Não","20 a 50 reais","Sim, e consegui","Bebo para desestressar e interagir com pessoas próximas, algo bem tranquilo "
